cidade_estado,cidade_estado_corrigido,geopoint
Coruripe-AL,Coruripe-AL,"-10.1249963,-36.1760623"
Costa Rica-MS,Costa Rica-MS,"-18.5333859,-53.1394286"
Cristalina-GO,Cristalina-GO,"-16.7680599,-47.6133427"
Cristopolis-BA,Cristópolis-BA,"-12.2349301,-44.4160811"
Cruzalia-SP,Cruzália-SP,"-22.7434438,-50.7911037"
Cruz Alta-RS,Cruz Alta-RS,"-28.645056,-53.6058047"
Curitibanos-SC,Curitibanos-SC,"-27.2917869,-50.5768954"
Curitiba-PR,Curitiba-PR,"-25.4295963,-49.2712724"
Diamantino-MT,Diamantino-MT,"-14.4036262,-56.4364488"
Douradina-MS,Douradina-MS,"-22.0402812,-54.6118292"
Dourados-MS,Dourados-MS,"-22.2206145,-54.812208"
Dracena-SP,Dracena-SP,"-21.4835523,-51.5334408"
Edeia-GO,Edéia-GO,"-17.3407253,-49.9292351"
Erechim-RS,Erechim-RS,"-27.6350709,-52.2738654"
Escada-PE,Escada-PE,"-8.3623847,-35.2366232"
Estrela-RS,Estrela-RS,"-29.5010545,-51.962226"
Fatimado Sul-MS,Fátima do Sul-MS,"-22.3750499,-54.516698"
Feliz Natal-MT,Feliz Natal-MT,"-12.3802463,-54.9389793"
Florinia-SP,Florínea-SP,"-22.9016004,-50.7268005"
Formiga-MG,Formiga-MG,"-20.4648425,-45.4266753"
Formosado Rio Preto-BA,Formosa do Rio Preto-BA,"-11.0414544,-45.1903983"
Formosado Sul-SC,Formosa do Sul-SC,"-26.6478829,-52.7934366"
Formoso-MG,Formoso-MG,"-14.9513078,-46.234247"
Fortaleza-CE,Fortaleza-CE,"-3.7304512,-38.5217989"
Fozdo Iguacu-PR,Foz do Iguaçu-PR,"-25.5401479,-54.5858139"
Franca-SP,Franca-SP,"50.2979845,2.7367232"
Francisco Beltrao-PR,Francisco Beltrão-PR,"-26.0790979,-53.0533527"
Frederico Westphalen-RS,Frederico Westphalen-RS,"-27.35711,-53.3964117"
Frutal-MG,Frutal-MG,"-20.0220064,-48.9280076"
Gameleirade Goias-GO,Gameleira de Goiás-GO,"-16.4853739,-48.64541"
General Carneiro-MT,General Carneiro-MT,"-26.422982,-51.3146691"
General Carneiro-PR,General Carneiro-PR,"-26.422982,-51.3146691"
Goiana-PE,Goiana-PE,"-7.560603,-34.99591"
Goiania-GO,Goianira-GO,"-16.5001973,-49.4254788"
Goiatuba-GO,Goiatuba-GO,"-18.0154577,-49.3640591"
Goioere-PR,Goioerê-PR,"-24.1851885,-53.0250623"
Guaira-SP,Guara-SP,"-20.4290496,-47.8250067"
Guanhaes-MG,Guanhães-MG,"-18.7753627,-42.9340634"
Guarapuava-PR,Guarapuava-PR,"-25.3950986,-51.4622016"
Guara-SP,Guara-SP,"-20.4290496,-47.8250067"
Guarda Mor-MG,Guarda-Mor-MG,"-17.7698233,-47.0986827"
Guiratinga-MT,Guiratinga-MT,"-16.3457422,-53.7595097"
Ibema-PR,Ibema-PR,"-25.1192916,-53.0071928"
Ibia-MG,Ibiaí-MG,"-16.861111,-44.913889"
Ibirarema-SP,Ibirarema-SP,"-22.8131812,-50.0720477"
Ibitinga-SP,Ibitinga-SP,"-21.75623,-48.831903"
Iepe-SP,Iepê-SP,"-22.660165,-51.077881"
Igarassu-PE,Igarassu-PE,"-7.8354423,-34.9061125"
Igreja Nova-AL,Igreja Nova-AL,"-10.1267244,-36.658151"
Iguatemi-MS,Iguatemi-MS,"-23.673555,-54.563731"
Ijui-RS,Ijuí-RS,"-28.3878734,-53.9201692"
Indianopolis-MG,Indianópolis-MG,"-19.0395886,-47.917564"
Ipameri-GO,Ipameri-GO,"-17.7215439,-48.158118"
Ipirangado Norte-MT,Ipiranga do Norte-MT,"-12.2408004,-56.1531011"
Ipojuca-PE,Ipojuca-PE,"-8.3980773,-35.0611068"
Ipua-SP,Ipuã-SP,"-20.4441839,-48.012504"
Irai-RS,Iraí-RS,"-27.1955392,-53.256791"
Itabera-SP,Itaberá-SP,"-23.8621345,-49.1398926"
Itacoatiara-AM,Itacoatiara-AM,"-3.1477898,-58.4461041"
Itapaci-GO,Itapaci-GO,"-14.9522349,-49.5511221"
Itapeva-SP,Itapeva-SP,"-23.9849105,-48.8803886"
Itapora-MS,Itaporã-MS,"-22.0766908,-54.796115"
Itaquirai-MS,Itaquiraí-MS,"-23.4801914,-54.1833692"
Itiquira-MT,Itiquira-MT,"-17.2033274,-54.1446924"
Ituiutaba-MG,Ituiutaba-MG,"-18.9691887,-49.4639335"
Itumbiara-GO,Itumbiara-GO,"-18.4135862,-49.2172596"
Ituverava-SP,Ituverava-SP,"-20.3366604,-47.7797924"
Ivinhema-MS,Ivinhema-MS,"-22.302254,-53.8276006"
Jaboataodos Guararapes-PE,Jaboatão dos Guararapes-PE,"-8.1752476,-34.9468716"
Jaborandi-BA,Jaborandi-BA,"-13.6203918,-44.4693394"
Jaboticabal-SP,Jaboticabal-SP,"-21.252037,-48.325223"
Jales-SP,Jales-SP,"-20.2671767,-50.5492435"
Jatai-GO,Jataí-GO,"-17.8783829,-51.7204241"
Jatei-MS,Jateí-MS,"-22.4815624,-54.307006"
Joacaba-SC,Joaçaba-SC,"-27.1737204,-51.5065214"
Joao Pessoa-PB,João Pessoa-PB,"-7.1215981,-34.882028"
Joao Pinheiro-MG,João Pinheiro-MG,"-17.742777,-46.175278"
Joaquim Nabuco-PE,Joaquim Nabuco-PE,"-8.6233192,-35.5264107"
Jose Bonifacio-SP,José Bonifácio-SP,"-23.564091,-46.4347666"
Joviania-GO,Joviânia-GO,"-17.8063651,-49.623645"
Jundia-AL,Jundiá-AL,"-8.944022,-35.5546827"
Juranda-PR,Juranda-PR,"-24.420866,-52.841344"
Juti-MS,Juti-MS,"-22.8611994,-54.604793"
Lagoado Itaenga-PE,Lagoa de Itaenga-PE,"-7.9335596,-35.2919789"
Lagoa Vermelha-RS,Lagoa Vermelha-RS,"-28.2087034,-51.527499"
Laguna Carapa-MS,Laguna Carapã-MS,"-22.5549233,-55.1505549"
Laranjeirasdo Sul-PR,Laranjeiras do Sul-PR,"-25.4073197,-52.4150132"
Lins-SP,Lins-SP,"-21.6741873,-49.7518932"
Londrina-PR,Londrina-PR,"-23.3112878,-51.1595023"
Lucasdo Rio Verde-MT,Lucas do Rio Verde-MT,"-13.0655935,-55.9198356"
Luis Eduardo Magalhaes-BA,Luís Eduardo Magalhães-BA,"-12.0869117,-45.7834163"
Luziania-GO,Luziânia-GO,"-16.2535456,-47.9500276"
Maceio-AL,Maceió-AL,"-9.66583,-35.73528"
Mafra-SC,Mafra-SC,"-26.1150943,-49.8035982"
Maracai-SP,Maracaí-SP,"-22.6112679,-50.6670685"
Maracaju-MS,Maracaju-MS,"-21.6163005,-55.164605"
Maraial-PE,Maraial-PE,"-8.7823791,-35.8113151"
Maravilha-SC,Maravilha-SC,"-26.7623898,-53.1747387"
Marechal Deodoro-AL,Marechal Deodoro-AL,"-9.709715,-35.896731"
Maringa-PR,Maringá-PR,"-23.425269,-51.9382078"
Matrizde Camaragibe-AL,Matriz de Camaragibe-AL,"-9.154373,-35.524302"
Miguelopolis-SP,Miguelópolis-SP,"-20.179612,-48.030997"
Mineiros-GO,Mineiros-GO,"-17.5653879,-52.5536721"
Mococa-SP,Mococa-SP,"-21.464731,-47.002405"
Monte Alegrede Minas-MG,Monte Alegre de Minas-MG,"-18.870278,-48.880556"
Montividiu-GO,Montividiu-GO,"-17.450464,-51.1737162"
Morrinhos-GO,Morrinhos-GO,"-17.7333689,-49.105908"
Morro Agudo-SP,Morro Agudo-SP,"-20.7276692,-48.052795"
Nantes-SP,Nantes-SP,"47.2186371,-1.5541362"
Nanuque-MG,Nanuque-MG,"-17.8391113,-40.3537221"
Natal-RN,Natal-RN,"-5.805398,-35.2080905"
Navirai-MS,Naviraí-MS,"-23.0622152,-54.2018319"
Nova Alvoradado Sul-MS,Nova Alvorada do Sul-MS,"-21.4587274,-54.3760634"
Nova Maringa-MT,Nova Maringá-MT,"-13.0314433,-57.0922657"
Nova Mutum-MT,Nova Mutum-MT,"-13.8255015,-56.0849262"
Nova Ponte-MG,Nova Ponte-MG,"-19.1692213,-47.6717642"
Nova Ubirata-MT,Nova Ubiratã-MT,"-13.03484,-55.2539048"
Novo Sao Joaquim-MT,Novo São Joaquim-MT,"-14.9108231,-53.01775"
Nuporanga-SP,Nuporanga-SP,"-20.730877,-47.7522561"
